province,year,density,timezone
ACEH,2015,86,WIB
SUMATERA UTARA,2015,191,WIB
SUMATERA BARAT,2015,124,WIB
RIAU,2015,73,WIB
JAMBI,2015,68,WIB
KEP. RIAU,2015,241,WIB
KEP. BANGKA BELITUNG,2015,84,WIB
BENGKULU,2015,94,WIB
SUMATERA SELATAN,2015,88,WIB
LAMPUNG,2015,234,WIB
BANTEN,2015,1237,WIB
JAWA BARAT,2015,1320,WIB
DKI JAKARTA,2015,15328,WIB
JAWA TENGAH,2015,1030,WIB
DI YOGYAKARTA,2015,1174,WIB
JAWA TIMUR,2015,813,WIB
KALIMANTAN BARAT,2015,33,WIB
KALIMANTAN TENGAH,2015,16,WIB
KALIMANTAN UTARA,2015,9,WITA
KALIMANTAN SELATAN,2015,103,WITA
KALIMANTAN TIMUR,2015,27,WITA
BALI,2015,718,WITA
NUSA TENGGARA BARAT,2015,260,WITA
NUSA TENGGARA TIMUR,2015,105,WITA
GORONTALO,2015,101,WITA
SULAWESI UTARA,2015,174,WITA
SULAWESI TENGAH,2015,47,WITA
SULAWESI BARAT,2015,76,WITA
SULAWESI SELATAN,2015,182,WITA
SULAWESI TENGGARA,2015,66,WITA
MALUKU UTARA,2015,36,WIT
MALUKU,2015,36,WIT
PAPUA,2015,10,WIT
PAPUA BARAT,2015,9,WIT
ACEH,2014,85,WIB
SUMATERA UTARA,2014,189,WIB
SUMATERA BARAT,2014,122,WIB
RIAU,2014,71,WIB
JAMBI,2014,67,WIB
KEP. RIAU,2014,234,WIB
KEP. BANGKA BELITUNG,2014,82,WIB
BENGKULU,2014,93,WIB
SUMATERA SELATAN,2014,87,WIB
LAMPUNG,2014,232,WIB
BANTEN,2014,1211,WIB
JAWA BARAT,2014,1301,WIB
DKI JAKARTA,2014,15173,WIB
JAWA TENGAH,2014,1022,WIB
DI YOGYAKARTA,2014,1161,WIB
JAWA TIMUR,2014,808,WIB
KALIMANTAN BARAT,2014,32,WIB
KALIMANTAN TENGAH,2014,16,WIB
KALIMANTAN UTARA,2014,8,WITA
KALIMANTAN SELATAN,2014,101,WITA
KALIMANTAN TIMUR,2014,26,WITA
BALI,2014,710,WITA
NUSA TENGGARA BARAT,2014,257,WITA
NUSA TENGGARA TIMUR,2014,103,WITA
GORONTALO,2014,99,WITA
SULAWESI UTARA,2014,172,WITA
SULAWESI TENGAH,2014,46,WITA
SULAWESI BARAT,2014,75,WITA
SULAWESI SELATAN,2014,180,WITA
SULAWESI TENGGARA,2014,64,WITA
MALUKU UTARA,2014,36,WIT
MALUKU,2014,35,WIT
PAPUA,2014,10,WIT
PAPUA BARAT,2014,9,WIT
ACEH,2013,83,WIB
SUMATERA UTARA,2013,186,WIB
SUMATERA BARAT,2013,121,WIB
RIAU,2013,69,WIB
JAMBI,2013,66,WIB
KEP. RIAU,2013,227,WIB
KEP. BANGKA BELITUNG,2013,80,WIB
BENGKULU,2013,91,WIB
SUMATERA SELATAN,2013,85,WIB
LAMPUNG,2013,229,WIB
BANTEN,2013,1185,WIB
JAWA BARAT,2013,1282,WIB
DKI JAKARTA,2013,15015,WIB
JAWA TENGAH,2013,1014,WIB
DI YOGYAKARTA,2013,1147,WIB
JAWA TIMUR,2013,803,WIB
KALIMANTAN BARAT,2013,32,WIB
KALIMANTAN TENGAH,2013,16,WIB
KALIMANTAN UTARA,2013,,WITA
KALIMANTAN SELATAN,2013,99,WITA
KALIMANTAN TIMUR,2013,19,WITA
BALI,2013,702,WITA
NUSA TENGGARA BARAT,2013,254,WITA
NUSA TENGGARA TIMUR,2013,102,WITA
GORONTALO,2013,98,WITA
SULAWESI UTARA,2013,170,WITA
SULAWESI TENGAH,2013,45,WITA
SULAWESI BARAT,2013,74,WITA
SULAWESI SELATAN,2013,179,WITA
SULAWESI TENGGARA,2013,63,WITA
MALUKU UTARA,2013,35,WIT
MALUKU,2013,35,WIT
PAPUA,2013,10,WIT
PAPUA BARAT,2013,9,WIT
